sales_date,category,advertising_vnd,online_ads_vnd,social_media_vnd,price_vnd,discount_percent,stores_count,weather,holiday,sales_vnd,uploaded_by
2021-01-07,Giày,3384000,768000,769000,344130,0.41,14,Lạnh,0,69379802,1
2021-01-08,Áo,4539000,2594000,1333000,310337,0.32,25,Nắng,0,120732260,1
2021-01-08,Quần,3031000,2145000,232000,413402,0.47,25,Nắng,0,111124161,1
2021-01-08,Váy,2715000,546000,152000,530613,0.31,25,Nắng,0,82227955,1
2021-01-08,Áo khoác,1058000,607000,840000,869007,0.29,25,Nắng,0,53929578,1
2021-01-08,Giày,4642000,332000,794000,652580,0.33,25,Nắng,0,102806516,1
2021-01-09,Áo,3416000,813000,122000,262341,0.39,16,Lạnh,0,49402398,1
2021-01-09,Quần,1064000,305000,1229000,473034,0.45,16,Lạnh,0,48851828,1
2021-01-09,Váy,2722000,2418000,1726000,633083,0.13,16,Lạnh,0,25416884,1
2021-01-09,Áo khoác,1614000,2887000,1754000,959394,0.1,16,Lạnh,0,82392579,1
2021-01-09,Giày,4602000,461000,559000,923982,0.02,16,Lạnh,0,39338692,1
2021-01-10,Áo,4295000,693000,749000,169773,0.19,10,Mưa,0,28799567,1
2021-01-10,Quần,4329000,1674000,581000,516383,0.42,10,Mưa,0,51077862,1
2021-01-10,Váy,3993000,489000,219000,483007,0.03,10,Mưa,0,21045431,1
2021-01-10,Áo khoác,3485000,2068000,772000,763559,0.27,10,Mưa,0,40917895,1
2021-01-10,Giày,3166000,1537000,307000,368968,0.35,10,Mưa,0,44929950,1
2021-01-11,Áo,1617000,2332000,1984000,210430,0.42,17,Lạnh,0,63082134,1
2021-01-11,Quần,1000000,1638000,417000,500072,0.29,17,Lạnh,0,49258041,1
2021-01-11,Váy,4683000,1552000,437000,201515,0.09,17,Lạnh,0,28201069,1
2021-01-11,Áo khoác,2501000,244000,254000,547206,0.48,17,Lạnh,0,143629855,1
2021-01-11,Giày,1893000,1014000,1898000,545282,0.05,17,Lạnh,0,36693729,1
2021-01-12,Áo,4287000,2580000,967000,295677,0.38,12,Nắng,0,63748583,1
2021-01-12,Quần,4445000,664000,1278000,255586,0.04,12,Nắng,0,27817295,1
2021-01-12,Váy,1530000,399000,1965000,694437,0.07,12,Nắng,0,20579586,1
2021-01-12,Áo khoác,2912000,528000,493000,1358806,0.45,12,Nắng,0,47348010,1
2021-01-12,Giày,3437000,2487000,604000,1069565,0.38,12,Nắng,0,56993053,1
2021-01-13,Áo,2208000,2107000,1070000,181186,0.18,13,Nắng,1,108107740,1
2021-01-13,Quần,2090000,997000,412000,276928,0.32,13,Nắng,1,108989628,1
2021-01-13,Váy,3228000,901000,1921000,429336,0.23,13,Nắng,1,126916088,1
2021-01-13,Áo khoác,1388000,2830000,1382000,994999,0.03,13,Nắng,1,85605049,1
2021-01-13,Giày,2681000,2904000,1280000,879250,0.36,13,Nắng,1,184411510,1
2021-01-14,Áo,4427000,2221000,113000,170039,0.38,24,Lạnh,0,91298014,1
2021-01-14,Quần,3245000,2124000,176000,286561,0.44,24,Lạnh,0,123797891,1
2021-01-14,Váy,3869000,2968000,1462000,406555,0.27,24,Lạnh,0,67761143,1
2021-01-14,Áo khoác,1465000,2607000,508000,1448899,0.34,24,Lạnh,0,207864085,1
2021-01-14,Giày,900000,1601000,493000,519730,0.22,24,Lạnh,0,61571607,1
2021-01-15,Áo,2325000,2632000,1970000,151577,0.16,18,Lạnh,0,45607458,1
2021-01-15,Quần,1884000,2612000,319000,357792,0.21,18,Lạnh,0,63578072,1
2021-01-15,Váy,1287000,2319000,843000,621566,0.46,18,Lạnh,0,51395625,1
2021-01-15,Áo khoác,2265000,2751000,532000,1401302,0.08,18,Lạnh,0,113533876,1
2021-01-15,Giày,1739000,1637000,905000,528506,0.12,18,Lạnh,0,41948905,1
2021-01-16,Áo,4915000,326000,1578000,160785,0.3,13,Lạnh,0,45853351,1
2021-01-16,Quần,1168000,1710000,1777000,322227,0.06,13,Lạnh,0,23293175,1
2021-01-16,Váy,2363000,1820000,1886000,580824,0.45,13,Lạnh,0,36660016,1
2021-01-16,Áo khoác,1429000,681000,1931000,1298389,0.02,13,Lạnh,0,63077061,1
2021-01-16,Giày,4678000,1535000,1263000,889719,0.38,13,Lạnh,0,61025214,1
2021-01-17,Áo,4756000,482000,1087000,298369,0.19,19,Lạnh,0,47250108,1
2021-01-17,Quần,4029000,2321000,1621000,497941,0.03,19,Lạnh,0,60179675,1
2021-01-17,Váy,2234000,2594000,753000,394844,0.42,19,Lạnh,0,51048441,1
2021-01-17,Áo khoác,1376000,2244000,1764000,600653,0.32,19,Lạnh,0,170374415,1
2021-01-17,Giày,1939000,2571000,1959000,617336,0.0,19,Lạnh,0,48246257,1
2021-01-18,Áo,1692000,438000,916000,151462,0.13,21,Lạnh,0,27578477,1
2021-01-18,Quần,330000,1620000,1653000,445245,0.18,21,Lạnh,0,40732543,1
2021-01-18,Váy,1003000,2584000,854000,608727,0.16,21,Lạnh,0,37097614,1
2021-01-18,Áo khoác,1168000,540000,775000,674737,0.25,21,Lạnh,0,116698643,1
2021-01-18,Giày,532000,1091000,931000,1194235,0.26,21,Lạnh,0,47260111,1
2021-01-19,Áo,1250000,1686000,1219000,269682,0.2,24,Lạnh,1,118246439,1
2021-01-19,Quần,358000,661000,127000,263386,0.17,24,Lạnh,1,73261914,1
2021-01-19,Váy,3118000,1516000,1087000,586213,0.25,24,Lạnh,1,141097341,1
2021-01-19,Áo khoác,3900000,997000,1353000,849437,0.02,24,Lạnh,1,484947607,1
2021-01-19,Giày,3449000,932000,515000,716690,0.32,24,Lạnh,1,260870525,1
2021-01-20,Áo,601000,361000,1579000,265375,0.3,14,Lạnh,0,29303066,1
2021-01-20,Quần,3150000,2695000,124000,402117,0.14,14,Lạnh,0,41662781,1
2021-01-20,Váy,3244000,1678000,1810000,553463,0.09,14,Lạnh,0,18980807,1
2021-01-20,Áo khoác,2223000,2512000,1527000,1372426,0.04,14,Lạnh,0,81711978,1
2021-01-20,Giày,616000,1209000,772000,1067303,0.29,14,Lạnh,0,33329135,1
2021-01-21,Áo,2188000,331000,641000,303778,0.28,16,Lạnh,0,26994110,1
2021-01-21,Quần,3015000,2057000,264000,302335,0.27,16,Lạnh,0,62779211,1
2021-01-21,Váy,2181000,2367000,307000,429087,0.49,16,Lạnh,0,47027405,1
2021-01-21,Áo khoác,4198000,2115000,1048000,502949,0.27,16,Lạnh,0,202856279,1
2021-01-21,Giày,4413000,1442000,1084000,763930,0.36,16,Lạnh,0,81937297,1
2021-01-22,Áo,1478000,871000,713000,245558,0.06,25,Lạnh,0,26903316,1
2021-01-22,Quần,4155000,704000,472000,514860,0.15,25,Lạnh,0,58505899,1
2021-01-22,Váy,4755000,2356000,717000,347646,0.14,25,Lạnh,0,44008788,1
2021-01-22,Áo khoác,631000,1461000,1965000,1167186,0.29,25,Lạnh,0,202303009,1
2021-01-22,Giày,827000,492000,168000,975573,0.17,25,Lạnh,0,25828225,1
2021-01-23,Áo,2359000,2210000,1643000,221916,0.32,13,Lạnh,1,134045892,1
2021-01-23,Quần,1398000,1027000,1758000,447223,0.35,13,Lạnh,1,141459813,1
2021-01-23,Váy,511000,386000,1476000,459590,0.02,13,Lạnh,1,28741116,1
2021-01-23,Áo khoác,2014000,1259000,200000,1222378,0.32,13,Lạnh,1,274015161,1
2021-01-23,Giày,2988000,2503000,100000,875194,0.06,13,Lạnh,1,97061409,1
2021-01-24,Áo,2630000,1658000,450000,150463,0.23,23,Lạnh,0,53470956,1
2021-01-24,Quần,3566000,1842000,106000,324694,0.36,23,Lạnh,0,109088063,1
2021-01-24,Váy,1332000,1231000,417000,613867,0.35,23,Lạnh,0,47920939,1
2021-01-24,Áo khoác,1632000,2995000,722000,1305126,0.15,23,Lạnh,0,154782086,1
2021-01-24,Giày,2140000,1401000,1978000,582152,0.14,23,Lạnh,0,69660330,1
2021-01-25,Áo,4986000,2288000,608000,220474,0.22,10,Lạnh,0,34103680,1
2021-01-25,Quần,2438000,2360000,285000,288185,0.09,10,Lạnh,0,25330044,1
2021-01-25,Váy,4851000,1053000,827000,550068,0.49,10,Lạnh,0,33165354,1
2021-01-25,Áo khoác,4391000,2325000,561000,1441921,0.17,10,Lạnh,0,74827624,1
2021-01-25,Giày,743000,918000,442000,1080862,0.46,10,Lạnh,0,31939497,1
2021-01-26,Áo,4474000,2046000,734000,184980,0.45,18,Mưa,0,98075585,1
2021-01-26,Quần,1798000,1077000,812000,272504,0.18,18,Mưa,0,40324853,1
2021-01-26,Váy,1226000,601000,1131000,254970,0.13,18,Mưa,0,33434113,1
2021-01-26,Áo khoác,922000,263000,675000,1091232,0.39,18,Mưa,0,43896536,1
2021-01-26,Giày,1779000,2899000,235000,1180354,0.11,18,Mưa,0,45086043,1
2021-01-27,Áo,3337000,1648000,482000,292767,0.26,13,Lạnh,1,90695878,1
2021-01-27,Quần,3685000,572000,285000,423615,0.06,13,Lạnh,1,71765259,1
2021-01-27,Váy,3618000,505000,738000,607775,0.19,13,Lạnh,1,48885670,1
2021-01-27,Áo khoác,533000,2456000,1027000,621277,0.04,13,Lạnh,1,175200429,1
2021-01-27,Giày,1917000,2714000,1495000,791966,0.14,13,Lạnh,1,96690001,1
2021-01-28,Áo,2991000,1131000,1063000,184159,0.33,18,Lạnh,0,50224472,1
2021-01-28,Quần,2330000,2190000,660000,261516,0.5,18,Lạnh,0,94845284,1
2021-01-28,Váy,686000,1615000,1289000,512636,0.13,18,Lạnh,0,21761829,1
2021-01-28,Áo khoác,1934000,2894000,997000,1265518,0.24,18,Lạnh,0,168857319,1
2021-01-28,Giày,4433000,561000,738000,938046,0.22,18,Lạnh,0,67687559,1
2021-01-29,Áo,1484000,1487000,1937000,180480,0.09,15,Lạnh,1,80501540,1
2021-01-29,Quần,2267000,2968000,420000,433163,0.31,15,Lạnh,1,167312285,1
2021-01-29,Váy,540000,915000,1812000,328023,0.36,15,Lạnh,1,78706645,1
2021-01-29,Áo khoác,861000,1845000,1838000,822339,0.07,15,Lạnh,1,248810802,1
2021-01-29,Giày,2299000,742000,1280000,478838,0.38,15,Lạnh,1,161163858,1
2021-01-30,Áo,2229000,1747000,957000,188737,0.35,24,Lạnh,0,88499065,1
2021-01-30,Quần,3079000,1862000,1854000,521409,0.1,24,Lạnh,0,79824493,1
2021-01-30,Váy,1975000,2441000,1097000,314165,0.32,24,Lạnh,0,61227098,1
2021-01-30,Áo khoác,2815000,851000,384000,1093789,0.2,24,Lạnh,0,126543574,1
2021-01-30,Giày,1977000,1250000,1924000,1073617,0.34,24,Lạnh,0,93189949,1
2021-01-31,Áo,4441000,1269000,1151000,220990,0.25,10,Lạnh,0,33660039,1
2021-01-31,Quần,4046000,846000,450000,527530,0.02,10,Lạnh,0,22580195,1
2021-01-31,Váy,3656000,2052000,182000,566862,0.39,10,Lạnh,0,28059101,1
2021-01-31,Áo khoác,1951000,1281000,1747000,1273857,0.28,10,Lạnh,0,101982775,1
2021-01-31,Giày,4477000,1148000,765000,421635,0.36,10,Lạnh,0,42545309,1
2021-02-01,Áo,4141000,1160000,1493000,324326,0.06,21,Lạnh,0,46613400,1
2021-02-01,Quần,2741000,2296000,640000,470935,0.36,21,Lạnh,0,102144278,1
2021-02-01,Váy,894000,1002000,1518000,253634,0.21,21,Lạnh,0,32034847,1
2021-02-01,Áo khoác,2912000,2854000,579000,1454221,0.4,21,Lạnh,0,232225803,1
2021-02-01,Giày,4396000,1880000,312000,1003022,0.3,21,Lạnh,0,89420562,1
2021-02-02,Áo,1796000,1807000,1737000,236988,0.18,12,Lạnh,0,22517103,1
2021-02-02,Quần,3855000,1602000,1029000,484856,0.1,12,Lạnh,0,30697624,1
2021-02-02,Váy,3658000,2257000,459000,568481,0.41,12,Lạnh,0,38153656,1
2021-02-02,Áo khoác,1901000,2921000,313000,942503,0.28,12,Lạnh,0,113393934,1
2021-02-02,Giày,1214000,925000,403000,518599,0.49,12,Lạnh,0,44969603,1
2021-02-03,Áo,2144000,2763000,1278000,291215,0.19,20,Nắng,0,60307037,1
2021-02-03,Quần,2295000,2471000,1503000,317443,0.34,20,Nắng,0,88343132,1
2021-02-03,Váy,394000,1604000,299000,491568,0.31,20,Nắng,0,43882928,1
2021-02-03,Áo khoác,792000,402000,1803000,1278416,0.32,20,Nắng,0,55883357,1
2021-02-03,Giày,3369000,1141000,337000,341505,0.37,20,Nắng,0,77778212,1
2021-02-04,Áo,449000,788000,770000,252478,0.07,11,Nắng,0,15262356,1
2021-02-04,Quần,1346000,770000,1828000,312699,0.27,11,Nắng,0,31444437,1
2021-02-04,Váy,3103000,395000,1290000,620173,0.25,11,Nắng,0,39801966,1
2021-02-04,Áo khoác,698000,1545000,1349000,1350444,0.17,11,Nắng,0,17402355,1
2021-02-04,Giày,4776000,617000,978000,454721,0.22,11,Nắng,0,42621734,1
2021-02-05,Áo,851000,1842000,350000,323137,0.26,25,Nắng,0,69219884,1
2021-02-05,Quần,594000,1565000,1403000,546902,0.16,25,Nắng,0,53985846,1
2021-02-05,Váy,1443000,208000,575000,336668,0.15,25,Nắng,0,35380990,1
2021-02-05,Áo khoác,755000,731000,597000,728518,0.37,25,Nắng,0,66974094,1
2021-02-05,Giày,1853000,348000,1077000,942974,0.03,25,Nắng,0,41856449,1
2021-02-06,Áo,468000,2630000,1856000,153775,0.16,18,Lạnh,0,31676620,1
2021-02-06,Quần,2246000,1752000,1658000,539532,0.33,18,Lạnh,0,75963471,1
2021-02-06,Váy,553000,1235000,1096000,585944,0.1,18,Lạnh,0,17632112,1
2021-02-06,Áo khoác,2676000,675000,800000,1257461,0.29,18,Lạnh,0,151342845,1
2021-02-06,Giày,1620000,1817000,1534000,908269,0.15,18,Lạnh,0,49853505,1
2021-02-07,Áo,3183000,2826000,883000,203639,0.42,25,Lạnh,0,121223491,1
2021-02-07,Quần,3907000,2179000,528000,364010,0.17,25,Lạnh,0,75540313,1
2021-02-07,Váy,2425000,1276000,638000,607861,0.11,25,Lạnh,0,39215973,1
2021-02-07,Áo khoác,3796000,405000,1000000,973472,0.27,25,Lạnh,0,190608436,1
2021-02-07,Giày,2540000,944000,1566000,706884,0.07,25,Lạnh,0,62484299,1
2021-02-08,Áo,700000,1112000,1067000,297032,0.4,24,Lạnh,1,174315108,1
2021-02-08,Quần,2456000,253000,309000,376519,0.34,24,Lạnh,1,193004109,1
2021-02-08,Váy,2676000,1803000,1670000,342429,0.39,24,Lạnh,1,204407772,1
2021-02-08,Áo khoác,662000,2026000,1833000,907820,0.2,24,Lạnh,1,389621247,1
2021-02-08,Giày,4238000,543000,590000,1189171,0.42,24,Lạnh,1,281757081,1
2021-02-09,Áo,4151000,1392000,570000,201796,0.25,21,Lạnh,1,196918792,1
2021-02-09,Quần,3712000,2132000,1809000,527948,0.05,21,Lạnh,1,166705089,1
2021-02-09,Váy,2606000,1384000,1853000,327732,0.11,21,Lạnh,1,84900884,1
2021-02-09,Áo khoác,384000,902000,667000,1483237,0.36,21,Lạnh,1,389929589,1
2021-02-09,Giày,2124000,2774000,763000,969986,0.45,21,Lạnh,1,240112380,1
2021-02-10,Áo,4185000,1510000,1586000,309204,0.05,10,Lạnh,0,25750419,1
2021-02-10,Quần,607000,2098000,649000,520095,0.43,10,Lạnh,0,38122815,1
2021-02-10,Váy,4657000,2659000,1600000,599665,0.4,10,Lạnh,0,28644091,1
2021-02-10,Áo khoác,2221000,2816000,297000,1337935,0.18,10,Lạnh,0,73517587,1
2021-02-10,Giày,930000,398000,620000,405072,0.34,10,Lạnh,0,25076353,1
2021-02-11,Áo,2671000,588000,1622000,290202,0.09,22,Lạnh,0,31732886,1
2021-02-11,Quần,3600000,673000,1634000,339360,0.41,22,Lạnh,0,83464342,1
2021-02-11,Váy,3967000,1604000,1813000,262287,0.33,22,Lạnh,0,67467486,1
2021-02-11,Áo khoác,1026000,964000,1448000,1157062,0.22,22,Lạnh,0,131840861,1
2021-02-11,Giày,1948000,1854000,787000,992353,0.43,22,Lạnh,0,87675048,1
2021-02-12,Áo,4612000,791000,566000,312947,0.07,23,Lạnh,0,46151923,1
2021-02-12,Quần,1569000,2048000,1896000,496356,0.42,23,Lạnh,0,110380536,1
2021-02-12,Váy,4843000,1295000,695000,337126,0.01,23,Lạnh,0,36011928,1
2021-02-12,Áo khoác,618000,1181000,238000,680881,0.38,23,Lạnh,0,138978496,1
2021-02-12,Giày,3775000,367000,1114000,407357,0.29,23,Lạnh,0,78088518,1
2021-02-13,Áo,3078000,483000,341000,329589,0.35,18,Nắng,0,56282195,1
2021-02-13,Quần,3358000,1398000,415000,457440,0.21,18,Nắng,0,62379882,1
2021-02-13,Váy,4434000,1443000,766000,229670,0.43,18,Nắng,0,95591308,1
2021-02-13,Áo khoác,1902000,1090000,832000,1324820,0.16,18,Nắng,0,41722840,1
2021-02-13,Giày,2556000,2381000,234000,651300,0.14,18,Nắng,0,45962412,1
2021-02-14,Áo,1129000,1854000,1311000,309379,0.15,18,Lạnh,0,32916937,1
2021-02-14,Quần,1155000,321000,1813000,494159,0.39,18,Lạnh,0,61888897,1
2021-02-14,Váy,2948000,1032000,678000,398159,0.25,18,Lạnh,0,37433336,1
2021-02-14,Áo khoác,2158000,2122000,1192000,644152,0.27,18,Lạnh,0,187757706,1
2021-02-14,Giày,1402000,1221000,538000,1179780,0.42,18,Lạnh,0,62032684,1
2021-02-15,Áo,2781000,2193000,176000,229335,0.42,17,Lạnh,0,56220634,1
2021-02-15,Quần,2120000,1094000,499000,538456,0.08,17,Lạnh,0,39060465,1
2021-02-15,Váy,2379000,1715000,473000,698372,0.27,17,Lạnh,0,34255787,1
2021-02-15,Áo khoác,3458000,488000,1135000,1425112,0.06,17,Lạnh,0,94684828,1
2021-02-15,Giày,2740000,1276000,1610000,783178,0.43,17,Lạnh,0,74491968,1
2021-02-16,Áo,3984000,1571000,1918000,250963,0.42,17,Lạnh,0,88870343,1
2021-02-16,Quần,1555000,1274000,857000,421349,0.42,17,Lạnh,0,55519511,1
2021-02-16,Váy,3257000,1038000,848000,231551,0.35,17,Lạnh,0,46491851,1
2021-02-16,Áo khoác,3951000,239000,863000,1064101,0.23,17,Lạnh,0,111417965,1
2021-02-16,Giày,2539000,2497000,516000,749813,0.2,17,Lạnh,0,45259372,1
2021-02-17,Áo,2239000,2465000,306000,251025,0.2,20,Lạnh,0,44712087,1
2021-02-17,Quần,569000,378000,440000,426284,0.03,20,Lạnh,0,27388899,1
2021-02-17,Váy,4364000,382000,1743000,209637,0.47,20,Lạnh,0,59594284,1
2021-02-17,Áo khoác,4075000,1959000,820000,1403197,0.23,20,Lạnh,0,191941949,1
2021-02-17,Giày,1412000,1387000,410000,953841,0.47,20,Lạnh,0,78066765,1
2021-02-18,Áo,948000,1969000,1431000,176950,0.44,23,Lạnh,0,87584002,1
2021-02-18,Quần,1479000,1600000,1416000,377870,0.41,23,Lạnh,0,96477151,1
2021-02-18,Váy,2442000,904000,724000,697760,0.29,23,Lạnh,0,49440531,1
2021-02-18,Áo khoác,316000,696000,1499000,450215,0.05,23,Lạnh,0,75693667,1
2021-02-18,Giày,416000,796000,1650000,667747,0.16,23,Lạnh,0,42325272,1
2021-02-19,Áo,1845000,2708000,1463000,161523,0.3,21,Lạnh,0,58569199,1
2021-02-19,Quần,3451000,673000,182000,273834,0.01,21,Lạnh,0,46555414,1
2021-02-19,Váy,2993000,884000,1700000,496618,0.02,21,Lạnh,0,32918335,1
2021-02-19,Áo khoác,4389000,1260000,1575000,1467375,0.34,21,Lạnh,0,304230489,1
2021-02-19,Giày,1576000,1822000,1126000,572544,0.44,21,Lạnh,0,103110203,1
2021-02-20,Áo,3540000,1864000,1579000,275211,0.43,10,Nắng,0,50895410,1
2021-02-20,Quần,4088000,518000,972000,260345,0.08,10,Nắng,0,27519162,1
2021-02-20,Váy,671000,1635000,335000,233896,0.46,10,Nắng,0,36619995,1
2021-02-20,Áo khoác,3107000,2603000,488000,1264661,0.35,10,Nắng,0,42392621,1
2021-02-20,Giày,455000,1894000,492000,810269,0.36,10,Nắng,0,29665847,1
2021-02-21,Áo,2961000,2864000,1764000,155583,0.15,20,Mưa,0,43871302,1
2021-02-21,Quần,764000,2188000,1882000,321537,0.36,20,Mưa,0,65007832,1
2021-02-21,Váy,4615000,428000,846000,440489,0.35,20,Mưa,0,91299030,1
2021-02-21,Áo khoác,2073000,928000,129000,847783,0.3,20,Mưa,0,69596809,1
2021-02-21,Giày,416000,1487000,1706000,899095,0.18,20,Mưa,0,42117785,1
2021-02-22,Áo,2403000,1710000,1081000,279648,0.41,17,Nắng,0,77602530,1
2021-02-22,Quần,1674000,760000,1271000,394401,0.47,17,Nắng,0,61158652,1
2021-02-22,Váy,3503000,1575000,704000,432117,0.43,17,Nắng,0,88779813,1
2021-02-22,Áo khoác,4703000,1665000,382000,1011340,0.12,17,Nắng,0,38663620,1
2021-02-22,Giày,3846000,2882000,1852000,750985,0.22,17,Nắng,0,79743231,1
2021-02-23,Áo,4277000,2706000,337000,196032,0.17,19,Nắng,0,53155241,1
2021-02-23,Quần,4617000,224000,1862000,545830,0.35,19,Nắng,0,88741355,1
2021-02-23,Váy,1496000,1354000,830000,539125,0.42,19,Nắng,0,79040752,1
2021-02-23,Áo khoác,3711000,569000,1442000,1073090,0.11,19,Nắng,0,44882821,1
2021-02-23,Giày,1096000,1659000,1460000,534337,0.47,19,Nắng,0,87501415,1
2021-02-24,Áo,4192000,1211000,130000,322857,0.34,23,Lạnh,0,62312409,1
2021-02-24,Quần,450000,810000,1077000,446753,0.11,23,Lạnh,0,34811123,1
2021-02-24,Váy,3549000,1575000,1014000,541609,0.19,23,Lạnh,0,43184068,1
2021-02-24,Áo khoác,411000,2025000,1749000,1200887,0.05,23,Lạnh,0,113379149,1
2021-02-24,Giày,982000,2235000,1737000,937509,0.3,23,Lạnh,0,78161937,1
2021-02-25,Áo,1461000,1420000,1728000,187333,0.08,12,Nắng,1,80444614,1
2021-02-25,Quần,2679000,2356000,306000,376457,0.35,12,Nắng,1,154655091,1
2021-02-25,Váy,460000,2083000,1002000,478720,0.37,12,Nắng,1,96137357,1
2021-02-25,Áo khoác,1725000,2146000,1352000,1330432,0.24,12,Nắng,1,117456965,1
2021-02-25,Giày,3961000,919000,682000,766995,0.05,12,Nắng,1,81831882,1
2021-02-26,Áo,577000,1305000,1465000,181601,0.31,20,Lạnh,0,47707523,1
2021-02-26,Quần,3691000,1760000,559000,354186,0.19,20,Lạnh,0,61904612,1
2021-02-26,Váy,1856000,2679000,235000,525038,0.47,20,Lạnh,0,52168437,1
2021-02-26,Áo khoác,4892000,2120000,1077000,1139995,0.26,20,Lạnh,0,268432971,1
2021-02-26,Giày,2215000,835000,383000,1093897,0.04,20,Lạnh,0,36243072,1
2021-02-27,Áo,3407000,1372000,949000,206754,0.32,16,Lạnh,0,47998178,1
2021-02-27,Quần,602000,1953000,450000,479047,0.39,16,Lạnh,0,49478082,1
2021-02-27,Váy,4833000,2614000,116000,292850,0.08,16,Lạnh,0,27787838,1
2021-02-27,Áo khoác,3073000,2661000,1338000,1346197,0.22,16,Lạnh,0,143006047,1
2021-02-27,Giày,4581000,2126000,1518000,1040479,0.37,16,Lạnh,0,84198037,1
2021-02-28,Áo,3545000,555000,1522000,242691,0.01,20,Lạnh,0,31593866,1
2021-02-28,Quần,1300000,2258000,513000,288871,0.01,20,Lạnh,0,41908374,1
2021-02-28,Váy,4134000,1639000,1367000,393946,0.34,20,Lạnh,0,57111279,1
2021-02-28,Áo khoác,4306000,1794000,1218000,920949,0.36,20,Lạnh,0,192237224,1
2021-02-28,Giày,2018000,1875000,1756000,1115943,0.42,20,Lạnh,0,103773146,1
2021-03-01,Áo,4130000,2070000,105000,230960,0.2,24,Nắng,0,60720719,1
2021-03-01,Quần,3481000,1345000,879000,499200,0.19,24,Nắng,0,84777001,1
2021-03-01,Váy,3182000,2312000,186000,401239,0.28,24,Nắng,0,87364481,1
2021-03-01,Áo khoác,1298000,324000,288000,933410,0.38,24,Nắng,0,59008892,1
2021-03-01,Giày,584000,511000,1738000,1058741,0.32,24,Nắng,0,63684529,1
2021-03-02,Áo,720000,974000,1739000,182574,0.16,10,Nắng,0,14659102,1
2021-03-02,Quần,2460000,1673000,519000,352072,0.17,10,Nắng,0,25964631,1
2021-03-02,Váy,3365000,2031000,1926000,635126,0.38,10,Nắng,0,55152989,1
2021-03-02,Áo khoác,2575000,893000,1190000,1184172,0.27,10,Nắng,0,38245961,1
